abbreviation	EC
PHYQS	2.1.1.-
PIt6b	3.2.1.18
PLPS	2.4.2.-
PMANM	5.4.2.8
PMPK	2.7.4.7
PMTCOATA	2.3.1.180
PNP	2.4.2.-
PNP	2.4.2.1
PNTK	2.7.1.33
POR4	1.2.7.1
PPA	3.6.1.1
PPAKr	2.7.2.1
PPBNGS	4.2.1.24
PPCDC	4.1.1.36
PPM	5.4.2.-
PPM	5.4.2.2
PPM	5.4.2.7
PPNCL3	6.3.2.-
PPNCL3	6.3.2.5
PPTT	2.5.1.90
PRAGS	6.3.4.13
PRO1x	1.5.1.2
PRO1x	1.5.99.8
PROD2	1.5.-.-
PROD2	1.5.99.8
PRPPS	2.7.6.1
PSCVT	2.5.1.19
PSD120	4.1.1.65
PSD140	4.1.1.65
PSD141	4.1.1.65
PSD160	4.1.1.65
PSD161	4.1.1.65
PSD180	4.1.1.65
PSD181	4.1.1.65
PSDAI15	4.1.1.65
PSDAI17	4.1.1.65
PSDI14	4.1.1.65
PSDI15	4.1.1.65
PSDI16	4.1.1.65
PSDI17	4.1.1.65
PSERT	2.6.1.52
PSP_L	3.1.3.3
PSSA120	2.7.8.8
PSSA140	2.7.8.8
PSSA141	2.7.8.8
PSSA160	2.7.8.8
PSSA161	2.7.8.8
PSSA180	2.7.8.8
PSSA181	2.7.8.8
PSSAAI15	2.7.8.8
PSSAAI17	2.7.8.8
PSSAI14	2.7.8.8
PSSAI15	2.7.8.8
PSSAI16	2.7.8.8
PSSAI17	2.7.8.8
PTA2	2.3.1.8
PTAr	2.3.1.8
PUNP1	2.4.2.1
PUNP2	2.4.2.1
PUNP3	2.4.2.1
PUNP3	2.4.2.15
PUNP4	2.4.2.1
PUNP4	2.4.2.4
PUNP5	2.4.2.1
PUNP5	2.4.2.15
PUNP6	2.4.2.1
PUNP6	2.4.2.4
PUNP7	2.4.2.-
PUNP7	2.4.2.1
QULNS	4.1.99.-
RBFK	2.7.1.26
RBFSa	2.5.1.9
RBFSb	2.5.1.9
RHCCE	4.4.1.21
RNDR1	1.17.4.1
RNDR2	1.17.4.1
RNDR3	1.17.4.1
RNDR4	1.17.4.1
RPE	5.1.3.1
RPI	5.3.1.6
S7PIr	5.3.1.-
SDPDS	3.5.1.18
SDPTA	2.6.1.17
SHK3Dr	1.1.1.25
SHKK	2.7.1.71
SO4t2	TC-2.A.53,2.A.53
SPMS	2.5.1.16
SPODM	1.15.1.1
STCOATA	2.3.1.180
SUCCt2r	TC-2.A.56,2.A.56
SUCD1	1.3.5.2
SUCD4	1.3.99.1
SUCDi	1.3.5.2
TALA	2.2.1.2
TDCOATA	2.3.1.180
TDSK	2.7.1.130
TECA5S140	2.7.8.-
TECA5S160	2.7.8.-
TECA5S180	2.7.8.-
TECA5SAI15	2.7.8.-
TECA5SAI17	2.7.8.-
TECA5SI14	2.7.8.-
TECA5SI15	2.7.8.-
TECA5SI16	2.7.8.-
TECA5SI17	2.7.8.-
THDPS	2.3.1.117
THIORDXi	1.11.1.7
THRS	4.2.3.1
TKT1	2.2.1.1
TKT2	2.2.1.1
TMDK1	2.7.1.145
TMDK1	2.7.1.21
TMDPK	2.7.6.2
TMN	3.5.99.2
TMPPP	2.5.1.3
TPI	5.3.1.1
TRDRr	1.8.1.9
TRPS1	4.2.1.20
TRPS2r	4.2.1.20
TRPS3r	4.2.1.20
U23GAAT	2.3.1.191
UAAGDS	6.3.2.13
UAG4E	5.1.3.7
UAGAAT	2.3.1.129
UAGCVT_r	2.5.1.7
UAGDP	2.7.7.23
UAGPT2	2.4.1.227
UAGPT3	2.4.1.227
UAMAGS	6.3.2.9
UAMAS	6.3.2.8
UAPGR	1.1.1.158
UDCPDP	3.6.1.27
UDPG4E	5.1.3.2
UGMDDS	6.3.2.15
UHGADA	3.5.1.108
UMPK	2.7.4.14
UMPK	2.7.4.22
UMPK	2.7.4.4
UPP3S	4.2.1.75
UPPDC1	4.1.1.37
URIDK3	3.2.1.18
VALTA	2.6.1.42
VALTA	2.6.1.6
XPPTr	2.4.2.22,2.4.2.8
YUMPS	4.2.1.70
ZNabc	TC-3.A.1.15,3.A.1.15
r0010	1.11.1.6
r0060	4.3.1.17
r0082	1.1.1.42
r0127	3.5.1.38
r0220	6.2.1.17
r0345	2.7.4.11
r0422	1.1.1.42
r0570	5.4.2.7
r0671	6.3.2.5
ACCOAC	6.4.1.2
AOXSr2	2.3.1.47
DHNPA2	4.1.2.25
DHPS2	2.5.1.15
FPGS	6.3.2.17
ASPO7	1.4.3.16
GTPCII2	3.5.4.25
DHPPDA2	3.5.4.26
PHEt2r	TC-2.A.3.1,2.A.3.1
TYRt2r	TC-2.A.3.1,2.A.3.1
FRD7	1.3.99.1
NTD2	3.1.3.5
NTD4	3.1.3.5
NTD4	3.1.3.91
NTD5	3.1.3.35
NTD5	3.1.3.5
NTD5	3.1.3.89
NTD6	3.1.3.5
NTD6	3.1.3.89
NTD7	3.1.3.5
NTD8	3.1.3.5
NTD8	3.1.3.89
NTD9	3.1.3.5
NTD10	3.1.3.5
NTD11	3.1.3.5
NTD11	3.1.3.99
NAPRT	2.4.2.11
EAR121x	1.3.1.9
EAR141x	1.3.1.9
EAR161x	1.3.1.9
EAR181x	1.3.1.9
KAS_HP	2.3.1.41
AACPS7	6.2.1.20
NADS2	6.3.5.1
ADPRDP	3.6.1.13
NH4tb	3.2.1.18
DHORDfum	1.3.98.1
GNK	2.7.1.12
PMACPME	3.1.1.85
MALCOAMT	2.1.1.197
ALCD1	1.1.1.244
ALDD1	1.2.1.46
RBK	2.7.1.15
ADNK1	2.7.1.20
ADNK1	2.7.1.74
GCALDD	1.2.1.21
GLYCLTDxr	1.1.1.26
GLXCL	4.1.1.47
TRSARr	1.1.1.60
r0339	2.7.1.31
AKP1	3.1.3.1
PMDPHT	3.1.3.-
12PPDSDH	4.2.1.28
2DH3DGLCA	4.1.2.20
2INSD	4.2.1.44
2OMMBOX	1.14.13.-
2OMPHH	1.14.13.-
3CARLPDH	1.2.4.2
3DGUR	1.1.1.130
3HBCOAE	5.1.2.3
3HPHACOX	1.14.13.3
4C2HM6SADH	1.1.1.312
4HP34DHPD	1.14.13.3
5AIZCDC	4.1.1.21
5C2O3EDDC	4.1.1.68
5CM2HMUDI	5.3.3.10
6P3HXI	5.3.1.27
6PHBG	3.2.1.86
6PHBG2	3.2.1.86
AB6P3HXLL	4.1.2.43
AB6PGH	3.2.1.86
AB6PGH2	3.2.1.86
ABUTD	1.2.1.-
ABUTD	1.2.1.19
ABUTD	1.2.1.3
ACACCTr	2.8.3.8
ACALD	1.2.1.10
ACOAD2	1.3.8.1
ACOAD3rev	1.3.8.7,1.3.8.8
ACOAD4rev	1.3.8.7,1.3.8.8
ACOAD5rev	1.3.8.7,1.3.8.8
ACOAD6rev	1.3.8.7,1.3.8.8
ACOAD7i	1.3.8.7,1.3.8.8
ACODAr	3.5.1.14,3.5.1.16
ACYP	3.6.1.7
ADMDCr	4.1.1.50
AEPPT	2.6.1.37
AGDC	3.5.1.25
AGMT	3.5.3.11
AHCYSNS_r	3.2.2.9
AICART	2.1.2.3
AIRC4	4.1.1.21
ALDD2x	1.2.1.3
ALDD2x	1.2.1.5
ALLTAMH2	3.5.3.9
ALLTN	3.5.2.5
ALTRH	4.2.1.7
AMALT1	2.4.1.25
AMALT2	2.4.1.25
AMALT3	2.4.1.25
AMALT4	2.4.1.25
AMANK	2.7.1.60
AMPN	3.2.2.4
AP4AH	3.6.1.41
ARGDA	3.5.3.6
ARGSL	4.3.2.1
ARGabc	TC-3.A.1.3,3.A.1.3
ASCBPL	3.1.1.-
ASPO1	1.4.3.16
ASPO6	1.4.3.16
AST	2.3.1.109
BDH	1.1.1.30
BGLA1	3.2.1.86
BUTCTr	2.8.3.8
CBL2D	1.16.1.4
CBMKr	2.7.2.2
CDPGHL	4.2.1.45
CHOLSH	3.1.6.6
CHORM	5.4.99.5
CITL	4.1.3.6
CRNCBCT	2.8.3.21
CRNCDH	4.2.1.149
CSND	3.5.4.1
CYTDK2	2.7.1.213
CYTDK2	2.7.1.48
CYTDK4	2.7.1.48
CYTK1	2.7.4.14
CYTK1	2.7.4.25
CYTK2	2.7.4.13
CYTK2	2.7.4.14
CYTK2	2.7.4.25
DDGALK	2.7.1.58
DHAD1	4.2.1.9
DHAD2	4.2.1.9
DHBD	1.3.1.28
DHBS	2.7.7.58
DHEDAA	4.1.2.52
DHNAOPT	2.5.1.74
DHNAOT4	2.5.1.74
DHPDO	1.13.11.15
DKDID2	3.7.1.22
DKGLCNR1	1.1.1.346
DMSOR1	1.8.5.3
DMSOR2	1.8.5.3
DOGULNR	1.1.1.-
DRBK	2.7.1.15
DRPAr	4.1.2.4
DSERt2r	TC-2.A.3.1,2.A.3.1
ECOAH12	4.2.1.17
ECOAH2	4.2.1.17
ECOAH3	4.2.1.17
ECOAH4	4.2.1.17
ECOAH5	4.2.1.17
ECOAH6	4.2.1.17
ECOAH7	4.2.1.17
ECOAH9	4.2.1.17
FACOAL160	6.2.1.3
FACOAL180	6.2.1.3
FACOALAI15	6.2.1.3
FACOALAI17	6.2.1.3
FACOALI14	6.2.1.3
FACOALI15	6.2.1.3
FACOALI16	6.2.1.3
FACOALI17	6.2.1.3
FCI	5.3.1.25
FCLK	2.7.1.51
FCLPA	4.1.2.17
FDH2	1.1.5.6
G1PCT	2.7.7.33
G1PP	3.1.3.10
G1PTT	2.7.7.24
G3PD5	1.1.99.5
G3PD6	1.1.99.5
G3PD7	1.1.99.5
G3PD8	1.1.5.3
G6PDA	3.5.99.6
GALACt	TC-2.A.3.1,2.A.3.1
GALCTD	4.2.1.42
GALCTND	4.2.1.6
GALK	2.7.1.6
GALT	2.7.7.10
GALT	2.7.7.64
GALURt2r	TC-2.A.1.14,2.A.1.14
GCCa	1.4.4.2
GLCNOXy	1.1.1.215
GLCP3	2.4.1.1
GLCRAL	4.1.2.20
GLCRD	4.2.1.40
GLCRHL	4.2.1.40
GLCRt2	TC-2.A.3.1,2.A.3.1
GLGC	2.7.7.27
GLTPD	1.1.1.251
GLUPRT	2.4.2.14
GLXS	2.3.3.9
GLYAT	2.3.1.29
GLYCDx	1.1.1.6
GLYK	2.7.1.30
GLYOX	3.1.2.6
GND	1.1.1.351
GND	1.1.1.44
GPDDA1	3.1.4.2
GPDDA1	3.1.4.46
GPDDA2	3.1.4.46
GPDDA4	3.1.4.46
GSNK	2.7.1.73
GSPMDA	3.5.1.78
GSPMDS	6.3.1.8
GTHRD	1.8.1.7
GTPDPDP	3.6.1.40
GUI1	5.3.1.12
GUI2	5.3.1.12
HACD1	1.1.1.35
HACD2	1.1.1.35
HACD3	1.1.1.35
HACD4	1.1.1.35
HACD5	1.1.1.35
HACD6	1.1.1.35
HACD7	1.1.1.35
HACD9	1.1.1.35
HADPCOADH3	1.1.1.35
HEMEOS	2.5.1.-
HEX7	2.7.1.1
HEX7	2.7.1.4
HHDDI	4.1.1.68
HIBD	1.1.1.31
HISD	4.3.1.3
HISTP	3.1.3.15
HMGL	4.1.3.4
HPYRI	5.3.1.22
HXPRT	2.4.2.8
HYD1	1.12.99.6
HYD2	1.12.99.6
HYD3	1.12.99.6
ICHORS	5.4.99.6
ICHORT	3.3.2.1
ICL	4.1.3.1
IDOND	1.1.1.264
IDOND2	1.1.1.264
IMACTD	1.2.1.3
IMPC	2.1.2.3
IMPC	3.5.4.10
INS2D	1.1.1.18
IPFPHS	2.5.1.83
IZPN	3.5.2.7
KG6PDC	4.1.1.85
LARGNAT	2.6.1.57
LCADi	1.2.1.22
LCARRy	1.1.1.21
LDH_D	1.1.1.28
LDH_L	1.1.1.27
LGTHL	4.4.1.5
LPAMS	1.2.4.1
LTHRK	2.7.1.177
L_LACD2	1.1.2.3
L_LACD3	1.1.2.3
L_LACDr	1.1.2.3
M1PD	1.1.1.17
MALT	3.2.1.20
MALTATr	2.3.1.79
MANAO	1.1.1.57
MCITD	4.2.1.79
MCITL2	4.1.3.30
MDH	1.1.1.299
MDH	1.1.1.37
MI1PP	3.1.3.25
MI3PP	3.1.3.25
MI4PP	3.1.3.25
MICITDr	4.2.1.99
MLTP1	2.4.1.1
MLTP2	2.4.1.1
MLTP3	2.4.1.1
MMSAD1	1.2.1.27
MMSAD2	1.2.1.27
MMSAD3	1.2.1.27
MNNH	4.2.1.8
MTAN	3.2.2.16
NMNPH	3.1.3.2
NNAM	3.5.1.19
NO3R1	1.7.99.4
NO3R2	1.7.99.4
NODOx	1.14.12.17
NODOy	1.14.12.17
NPHS	4.1.3.36
NT5C	3.1.3.-
NT5C	3.1.3.5
NTD3	3.1.3.5
NTD3	3.1.3.89
NTPTP1	3.1.5.1
NTRIR2x	1.7.1.15
NTRIR2y	1.7.1.4
NTRIR5	1.7.2.2
OAADC	1.1.1.38
OAADC	1.1.1.40
OAADC	4.1.1.-
OAADC	4.1.1.3
OBTFL	2.3.1.54
OHEDH	4.2.1.-
ORNDC	4.1.1.17
PAAMOR	1.8.4.10
PACTH	3.11.1.1
PDHc	1.8.1.4
PERD	1.1.1.290
PFK	2.7.1.11
PFL	2.3.1.54
PGLYCP	3.1.3.18
PHETA1	2.6.1.1
PHETA1	2.6.1.42
PHETA1	2.6.1.5
PHETA1	2.6.1.57
PHETA1	2.6.1.58
PHETA1	2.6.1.9
POX	1.2.2.2
PPCKr	4.1.1.49
PPPGO3	1.3.3.4
PRAIS	6.3.3.1
PRASCSi	6.3.2.6
PRFGS	6.3.5.3
PTRCTA	2.6.1.29
PYDAMK	2.7.1.35
PYDXNK	2.7.1.35
PYK	2.7.1.40
RB5PE	5.1.3.22,5.-.-.-
RE1944C	2.3.1.65
RIBabc	3.A.1.2
RMI	5.3.1.14
RMK	2.7.1.5
RMK2	2.7.1.5
RMPA	4.1.2.19
RNTR1	1.17.4.2
RNTR2	1.17.4.2
RNTR3	1.17.4.2
RNTR4	1.17.4.2
SADH	2.6.1.69
SADT2	2.7.7.4
SBTPD	1.1.1.140
SERD_D	4.3.1.18
SGDS	3.5.1.96
SGSAD	1.2.1.71
SHCHCS3	4.2.99.20
SNCOAT	2.8.3.-
SOTA	2.6.1.81
SPMDAT1	2.3.1.57
SPMDAT2	2.3.1.57
SPMDAT2	2.6.1.29
SUCBZL	6.2.1.26
SUCBZS	4.2.1.-
SULR	1.8.2.2
TARTD	4.2.1.32
TDPADGAT	2.3.1.210
TDPAGTA	2.6.1.59
TDPDRE	5.1.3.13
TDPDRRr	1.1.1.133
TDPGDH	4.2.1.46
THRAr	4.1.2.5
THRD_L	4.3.1.19
THSFST	2.8.1.1
TMAOR1	1.6.6.9
TMAOR1e	1.6.6.9
TMAOR2	1.6.6.9
TMAOR2e	1.6.6.9
TMDS	2.1.1.45
TRE6PH	3.2.1.93
TRE6PP	3.1.3.12
TRE6PS	2.4.1.15
TRSARry	1.1.1.60
TYRTA	2.6.1.1
TYRTA	2.6.1.5
TYRTA	2.6.1.57
TYRTA	2.6.1.9
UACMAMO	1.1.1.336
UDCPDPS	2.5.1.31
UDPGDr	1.1.1.22
UGLYCH	3.5.3.19
UNK3	2.6.1.5
UNK3	2.6.1.57
UPPRT	2.4.2.9
URDGLYAH	3.5.3.26
URDGLYCD	1.1.1.154
URDGLYCR	1.1.1.154
URIK10	2.7.1.48
URIK11	2.7.1.48
URIK12	2.7.1.48
URIK13	2.7.1.48
URIK14	2.7.1.48
URIK2	2.7.1.48
URIK4	2.7.1.48
URIK5	2.7.1.48
URIK6	2.7.1.48
URIK7	2.7.1.48
URIK8	2.7.1.48
URIK9	2.7.1.48
VPAMTr	2.6.1.66
r0163c	1.2.4.2
r0392	1.2.1.3
r0556c	2.3.1.61
r0792	1.5.1.20
SULRi	1.8.1.2
CYOmq	1.10.3.12
NO3rPuq	1.9.6.1
NO3rPmq	1.9.6.1
NO2rPuq	1.7.2.2
NO2rPmq	1.7.2.2
TTHrdmq	1.7.2.3
SELRmq	1.97.1.9
SELRdmq	1.97.1.9
DNTPPA	3.6.1.-
PDX5PS	2.6.99.2
PDX5PO2	1.4.3.5
3HAD121	4.2.1.59
3HAD141	4.2.1.59
3HAD161	4.2.1.59
3HAD181	4.2.1.59
3OAS121	2.3.1.41
3OAS141	2.3.1.41
3OAS161	2.3.1.41
3OAS181	2.3.1.41
ASPO5	1.4.3.16
UGLT	2.7.7.12
URCN	4.2.1.49
MALT6PH	3.2.1.122
4NTPPH2	3.1.3.1,3.1.3.2,3.1.3.41
ACGAM2E	5.1.3.8
CMLDC	4.1.1.44
COBCOMOX	1.8.98.1
DCMPDA	3.5.4.12
FTHFL	6.3.2.17
PYNP1r	2.4.2.2
CELLUL_DEGe	3.2.1.21
XYLAN_DEGe	3.2.1.8
13PPDHr	1.1.1.202
ACEDIPIT	2.6.1.-
ACLDC	4.1.1.5
ADD	3.5.4.2
APAT	2.3.1.-
DEXTRINASE	3.2.1.20
DHSQLD	1.3.8.2
GGT	2.5.1.32
GLYCLTDx	1.1.1.26
GLYD	1.1.1.29
GLYDy	1.1.1.79,1.1.1.81
HCYSMT	2.1.1.10
HMGCOAS	2.3.3.10
ISOMALT	3.2.1.10
L2AADPI	2.7.2.-
MLTG2	3.2.1.1
MLTG3	3.2.1.1
MLTG4	3.2.1.1
MLTG5	3.2.1.1
MLTP4	2.4.1.8
PGMT2	5.4.2.2
PPHTDK	2.5.1.32
PPHTDT	2.5.1.32
PYROX	1.2.3.3
TRE6PPGT	2.4.1.216
TREGLUDR2	2.4.1.64
UACMAMAT	2.4.1.187
AACOAT	6.2.1.16
AC2DHOR	1.1.99.3
ACNAMS	2.5.1.56,4.1.3.19
AMMQT7rev	2.1.1.163
DHNAOT7	2.5.1.74
GCALDDr	1.2.1.21
NMNt7	3.2.2.14
OMCDC	1.1.1.85
ORNTA	2.6.1.13
PPPH	1.3.3.4
TMDSf2	2.1.1.148
FORTHFC	3.2.1.18
MTRI	5.3.1.23
UP4GH	3.6.1.17
NADN	3.2.2.5
NADN	3.2.2.6
NADN	3.5.1.-
MTHFD2	1.5.1.5
AHC	3.3.1.1
3HCINNMH	1.14.13.-
3HPPPNH	1.14.13.-
CINNDO	1.14.12.19,1.14.12.-
DDPGALA	4.1.2.21
DHAK	2.7.1.29
DHCIND	1.3.1.87
DHCINDO	1.13.11.16
DHPPD	1.3.1.87
FMNRx	1.5.1.29
GGGABADr	1.2.1.-
GGGABARr	1.2.1.-
GLYBt2r	TC-2.A.1.6,2.A.1.6
GLYCDH	4.2.1.30
GLYH	4.2.1.30
HKNDDH	3.7.1.-
HKNTDH	3.7.1.14
HOPNTAL	4.1.3.39
HPPPNDO	1.13.11.16
MALDDH	1.1.1.83
MELTOX	1.14.13.4
MMM2r	5.4.99.2
OP4ENH	4.2.1.80
PCAB	5.5.1.2
PPPNDO	1.14.12.19
TAGURr	1.1.1.58
TARCGLYL	4.1.1.73
TARTRDH	1.1.1.93
TARTRDH2	1.1.1.93
TAUDO	1.14.11.17
TGBPA	4.1.2.40
5APTLPO	1.4.1.12,1.21.4.1
ACTNDH	2.3.1.190
AGTi	2.6.1.44
AMAA	3.5.1.28
BUTKr	2.7.2.7
FXXRDO	1.8.7.1
GLYCTO1	1.1.3.15
GLYCTO2	1.1.3.15
GLYCTO3	1.1.3.15
GLYCTO4	1.1.3.15
HCITS	2.3.3.14
HXAND	1.17.1.4
ICDHx	1.1.1.41
MOBDabc	TC-3.A.1.8,3.A.1.8
MUCCYCI	5.5.1.1
ORNCD	4.3.1.12
PBUTT	2.3.1.19
PROLR	5.1.1.4
SPTc	2.6.1.51
HYD4	1.12.7.2
PACCOALr	6.2.1.30
PACCOAL2r	6.2.1.-
IOR2	1.2.7.8
IOR3	1.2.7.8
METGL	4.4.1.11
ALAD_L	1.4.1.1
PLACOR	1.1.1.222
PLACOR	1.1.1.237
GLYR	1.21.4.2
PRO_DR	1.21.4.1
GLYB_R	1.21.4.4
4HPHACDC	4.1.1.83
4HPHACDC2	4.1.1.83
3HBCOAHL	3.1.2.4
HIBDkt	1.1.1.31
MMTSAO	1.2.1.27
ACTD	1.1.1.5
BETALDHx	1.2.1.8
BETALDHy	1.2.1.8
BTDD_RR	1.1.1.4
CHOLD	1.1.1.-
CHOLD	1.1.1.1
HKMPPI	5.3.2.5
MALDC	4.1.1.89
QUIDH	1.1.99.25
FHL	1.2.1.2,1.12.1.2
PHACOAO	1.14.13.149
HBCD	1.1.1.157
3OXCOAT	2.3.1.174
KACOAT2	2.3.1.16
ACOCT	2.1.3.9
DAPMDH	1.4.1.16
MI1PI	5.5.1.4
MME	5.1.99.1
PFK(ppi)	2.7.1.90
SUCORNTC	2.1.3.11
6PGALSZ2i	3.2.1.85
AMPSO3OX	1.8.99.2
D5KGPA	4.1.2.29
SRBL1PR	1.1.1.-
NMNAT	2.7.7.1
NMNAT	2.7.7.18
ALAS	2.3.1.37
CYOO3	1.9.3.1
EAR12M14	1.3.1.10
EAR6M8	1.3.1.10
KDOS	4.1.2.23
GALASE_OGLYCAN1e	3.2.1.23
GALASE_OGLYCAN2e	3.2.1.23
GALASE_OGLYCAN3e	3.2.1.23
GALNACASE_OGLYCAN1e	3.2.1.49
GALNACASE_OGLYCAN2e	3.2.1.49
GALNACASE_OGLYCAN3e	3.2.1.49
GLCNACASE_OGLYCAN1e	3.2.1.49
GLCNACASE_OGLYCAN2e	3.2.1.49
GLCNACASE_OGLYCAN3e	3.2.1.49
GLCNACASE_OGLYCAN4e	3.2.1.49
GLCNACASE_OGLYCAN5e	3.2.1.49
GLCNACASE_OGLYCAN6e	3.2.1.49
SIAASE_OGLYCAN1e	3.2.1.18
SIAASE_OGLYCAN2e	3.2.1.18
SIAASE_OGLYCAN3e	3.2.1.18
OXOAEL	3.1.1.24
ALATA_D	2.6.1.21
AMAMTi	2.6.1.19,2.6.1.55
LACpts	2.8.3.1
MSAS	4.1.1.-
GLCND	4.2.1.39
L_ASPR	1.4.1.21
GALUi	2.7.7.64
GALUi	2.7.7.9
GLYCL	2.1.2.10
CHOLTMAL	4.3.99.4
ALCD2y	1.1.1.2
ALCD2y	1.1.1.71
GNOX	1.1.1.47
GNOXy	1.1.1.47
ALLTNS	4.1.1.97
AMOPBHL	1.1.1.262
CBMTHL2	4.2.1.104
DMQMT2	2.1.1.64
PAAI17P	3.1.3.4
PAI17P	3.1.3.4
GAL6PI	5.3.1.26
6PGALSZ	3.2.1.85
NIT_n1p4	1.19.6.1
MANAD_D	1.1.1.67,1.1.1.11
EAR10M12	1.3.1.10
EAR15M16	1.3.1.10
PREN	2.5.1.30
25DOPOX	1.2.1.3
25DOPOX	1.2.1.26
25K5O2AI	5.3.3.4
2DDPENTHL	4.2.1.43
34DCCBR	1.13.11.3
AB14LACH	3.1.1.15
ACOAD8	1.3.8.4
ALLTAH	3.5.3.4
ANOX	1.1.1.46
APATr	2.6.1.18
ARABTH	4.2.1.25
BZ12DOX	1.14.12.10
BZ12DOXy	1.14.12.10
BZDIOLDH	1.3.1.25
CATDOX	1.13.11.1
CBMTHL	4.2.1.104
D4DGCD	4.2.1.41
EAR100y	1.3.1.10
EAR10M11	1.3.1.10
EAR120y	1.3.1.10
EAR12M13	1.3.1.10
EAR140y	1.3.1.10
EAR14M15	1.3.1.10
EAR160y	1.3.1.10
EAR180y	1.3.1.10
EAR40y	1.3.1.10
EAR4M5	1.3.1.10
EAR4M6	1.3.1.10
EAR60y	1.3.1.10
EAR6M7	1.3.1.10
EAR80y	1.3.1.10
EAR8M10	1.3.1.10
EAR8M9	1.3.1.10
GAPD_NADP	1.2.1.13,1.2.1.59
GLFRDO	1.4.7.1
GLYO	1.4.3.19
HSERTA	2.3.1.31
L_ALAOPAT	2.6.1.18
MCCCr	6.4.1.4
MGCOAH	4.2.1.18
MTI	5.4.99.16
N2OFO	1.7.2.4
N2OO	1.7.2.5
PAOOX	1.14.11.2
PHE4MO	1.14.16.1
XNOX	1.1.1.175,1.1.1.121
XYLLACH	3.1.1.68
XYLTH	4.2.1.82
NTRARx	1.7.1.1
NTRARy	1.7.1.3
NO2rDuq	1.7.2.1
N2Ormq	1.7.2.4
1H2NPTH	1.14.13.1
1P4H2CBXLAH	3.5.4.22
4HPROI	5.1.1.8
4HPROOX	1.4.3.3
ABTDG	1.1.1.11
D_PROHOX	1.4.3.3
G15LACH	3.1.1.17
HSNOOX	1.14.13.1
MCREAOOX	1.14.13.1
SALCACD	1.14.13.1
SNOOX	1.14.13.1
URAOX	1.7.3.3
2MEBCOADH	2.3.1.168
3MEBCOADH	2.3.1.168
3MOBDC2	1.2.4.4
3MOPDC2	1.2.4.4
4MOPDC2	1.2.4.4
CYTB_B3	1.10.3.12
DHLCOALT	2.3.1.168
HPROxr	1.5.1.2,1.5.1.12
HPROyr	1.5.1.2,1.5.1.12
LPAMMBT	1.2.4.4
LPAMMBT2	1.2.4.4
LPAMMPT	1.2.4.4
PSP_D	3.1.3.3
MAN1PT	2.7.7.13
ARABI	5.3.1.3
LYXI	5.3.1.15
RMPA2	4.1.2.19
AMYLe	3.2.1.1
DMLARGAH	3.5.3.18
PAPA180	3.1.3.4
SBTDOX	1.1.1.76
COCHL	6.6.1.2
RBLIi	5.3.1.3
CHCOAL	6.2.1.14
NFORGLUAH	3.5.1.68
LACCOAT	2.8.3.1
LACCOAD	4.2.1.54
PPCOA_FDX_OX	1.3.8.7
BUTCT	2.8.3.8
ACGALK3	2.7.1.157
AGDC2	3.5.1.25
URIDK1	2.7.4.22
URIDK2	2.7.4.22
PULLe	3.2.1.41
FOLRrev	1.5.1.3
FRDPS	2.5.1.21
NADH7	1.6.5.3
NADH8	1.6.5.3
SQLErev	1.14.13.132
SSQEPXS	5.4.99.7
DXPRIi	1.1.1.267
2S6HCC	4.2.99.20,2.2.1.9
NH4t4	T2.A.49
CYOR3	1.10.2.2
GULLACO	1.1.3.8
GULLACOX	1.1.3.8
LLEUDr	1.4.1.9
L_ILE3MR	1.4.1.9
L_TRPCOO	1.13.12.3
L_VALMOD	1.4.1.23
NWHARGOX	1.14.13.165
PECTIN_DEGe	3.2.1.15
MANNANASEe	3.2.1.77
ARABINANASEe	3.2.1.55
BGLC_DEGe	3.2.1.74
CSABCASE_A_e	4.2.2.20
CSABCASE_B_e	4.2.2.20
CSABCASE_C_e	4.2.2.20
CS4TASE	3.1.6.9
CS4TASE2	3.1.6.9
CS6TASE	3.1.6.4
GLCAASEe	3.2.1.31
IS2TASE	3.1.6.13
IDOURASE	3.2.1.76
DEXTRAN40e	3.2.1.41
HEPARL1_e	4.2.2.7
IDOURASE_HS1	3.2.1.76
IDOURASE_HS2	3.2.1.76
IDOURASE_HS3	3.2.1.76
AS3TASE_HS1	3.1.6.14
AS3TASE_HS2	3.1.6.14
AS6TASE_HS1	3.1.6.14
AS6TASE_HS2	3.1.6.14
GAM2STASE_HS1	3.10.1.1
GAM2STASE_HS2	3.10.1.1
GAM2STASE_HS3	3.10.1.1
GLCAASE_HSe	3.2.1.31
GLCNACASE_HS1	3.2.1.50
GLCNACASE_HS2	3.2.1.50
IS2TASE_HS1	3.1.6.13
GALASE_HSe	3.2.1.23
GLCAASE8e	3.2.1.31
GLCAASE9e	3.2.1.31
NACHEX27e	3.2.1.52
PECTICGALASEe	3.2.1.55
RHAMNOGALURASEe_I	3.2.1.40
RHAMNOGALURASEe_II	3.2.1.40
5FMFURT	2.3.1.101
FMFUROr	1.2.99.5
MCOX	1.5.98.1
MTTH4MPTH	3.5.4.27
NADPHQR2	1.6.5.10
NADPHQR3	1.6.5.10
NADPHQR4	1.6.5.10
TMDK2	2.7.1.21
FOLR3	1.5.1.3
G3PO	1.1.3.21
ADAD	2.7.1.74
ACCOAL2	6.2.1.13
MTHFRfdx	1.5.7.1
METR	2.1.1.258
CODH_ACS	2.3.1.169
G1PGTi	2.7.7.33
