abbreviation	EC
RE3410C	4.2.1.17
RE3411C	6.2.1.3
RE3412C	6.2.1.3
RE3414C	6.2.1.3
RE3415C	1.2.1.3
RE3417C	1.2.1.3
RE3420C	1.2.1.3
RE3421M	1.5.1.29
RE3430C	1.4.3.6
RE3434R	1.14.13.30
RE3435R	1.14.13.30
RE3436R	1.14.13.30
RE3440C	1.14.13.30
RE3440R	1.14.13.30
RE3443M	2.3.1.16
RE3443X	2.3.1.16
RE3444C	3.1.2.2
RE3444M	3.1.2.2
RE3444X	3.1.2.2
RE3445M	1.3.3.6
RE3445X	1.3.3.6
RE3446C	6.2.1.3
RE3446M	6.2.1.3
RE3446R	6.2.1.3
RE3446X	6.2.1.3
RE3447M	4.2.1.17
RE3447X	4.2.1.17
RE3448C	1.1.1.35
RE3448M	1.1.1.35
RE3448X	1.1.1.35
RE3464C	1.14.13.30
RE3464R	1.14.13.30
RE3470X	1.1.1.184
RE3474C	1.14.13.30
RE3474R	1.14.13.30
RE3475N	1.13.11.34
RE3476X	1.1.1.184
RE3485N	1.13.11.34
RE3488N	1.14.99.1
RE3488X	1.14.99.1
RE3492C	1.3.3.6
RE3494C	2.3.2.2
RE3495C	4.4.1.20
RE3496N	5.3.99.3
RE3498N	1.13.11.34
RE3498R	1.13.11.34
RE3499C	1.1.1.35
RE3500C	3.3.2.9
RE3500R	3.3.2.9
RE3500X	3.3.2.9
RE3501C	3.3.2.9
RE3501R	3.3.2.9
RE3501X	3.3.2.9
RE3502C	1.1.1.184
RE3502X	1.1.1.184
RE3503C	1.13.11.34
RE3503N	1.13.11.34
RE3506C	1.14.13.30
RE3506R	1.14.13.30
RE3511C	2.1.1.17
RE3511M	2.1.1.17
RE3511R	2.1.1.17
RE3513N	1.13.11.34
RE3514C	1.14.13.30
RE3514R	1.14.13.30
RE3515C	1.14.13.30
RE3518C	1.14.13.30
RE3518R	1.14.13.30
RE3519C	3.3.2.9
RE3519R	3.3.2.9
RE3519X	3.3.2.9
RE3520C	1.11.1.9
RE3520M	1.11.1.9
RE3520N	1.11.1.9
RE3521C	2.5.1.18
RE3521M	2.5.1.18
RE3521R	2.5.1.18
RE3521X	2.5.1.18
RE3522C	1.14.13.30
RE3522R	1.14.13.30
RE3525N	1.13.11.31
RE3525X	1.13.11.31
RE3526X	1.13.11.31
RE3532C	2.5.1.18
RE3532M	2.5.1.18
RE3532R	2.5.1.18
RE3533C	2.5.1.18
RE3533M	2.5.1.18
RE3533R	2.5.1.18
RE3534C	2.5.1.18
RE3534M	2.5.1.18
RE3534R	2.5.1.18
RE3535R	1.13.11.34
RE3536C	1.1.1.188
RE3537C	1.1.1.188
RE3550X	1.14.13.34
RE3551X	1.1.1.1
RE3552X	1.2.1.3
RE3554C	2.5.1.18
RE3554M	2.5.1.18
RE3554R	2.5.1.18
RE3556C	5.3.3.9
RE3557C	2.5.1.18
RE3557M	2.5.1.18
RE3557R	2.5.1.18
RE3559M	2.3.1.16
RE3559X	2.3.1.16
RE3560C	3.1.2.2
RE3560M	3.1.2.2
RE3560X	3.1.2.2
RE3561M	1.3.3.6
RE3561X	1.3.3.6
RE3562C	6.2.1.3
RE3562M	6.2.1.3
RE3562R	6.2.1.3
RE3562X	6.2.1.3
RE3563M	4.2.1.17
RE3563X	4.2.1.17
RE3564C	1.1.1.35
RE3564M	1.1.1.35
RE3564X	1.1.1.35
RE3571C	1.14.99.1
