OTU ID	SRS058770	SRS017307	SRS017701	SRS018133	SRS017103	SRS017521	SRS018427	SRS024331	SRS020233	SRS024388	SRS024625	SRS017821	SRS016954	SRS017191	SRS018313	SRS013687	SRS021484	SRS020869	SRS023914	SRS022609	SRS023176	SRS024265	SRS015854	SRS019787	SRS015578	SRS016267	SRS048870	SRS015960	SRS015782	SRS016018	SRS016056	SRS015663	SRS016095	SRS016203	SRS016335	SRS019910	SRS019267	SRS011529	SRS011452	SRS011586	SRS014287	SRS050422	SRS014923	SRS014613	SRS015133	SRS053335	SRS018817	SRS049959	SRS019685	SRS064276	SRS051031	SRS054590	SRS064557	SRS063985	SRS062427	SRS019582	SRS015190	SRS011405	SRS014235	SRS049164	SRS052697	SRS011271
519be1830883f4f5cad98676faa7b164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	756.0	0.0	473.0	0.0	239.0	0.0	116.0	171.0	0.0	0.0	0.0	0.0	0.0	0.0	228.0	0.0	0.0	223.0	0.0	490.0	0.0	0.0	0.0	77.0	188.0	637.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0
c52d7bddeca19e8791f2ec4b2324de7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3735.0	0.0	0.0	0.0	0.0	0.0
1d5fc3728068ead73c9daea9259c8b0d	0.0	0.0	0.0	0.0	1345.0	0.0	0.0	0.0	550.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	674.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0459e2fe09e97f34332668c0f7db7071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.0	312.0	0.0	2015.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	686.0	0.0	0.0	0.0
085486a9f07f5fb985bd729debf3bf24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	660.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2478.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ab715316e27f811281d76e16b160b62c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3009.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b015aff04a9da1bb3485b6fb61739c31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1232.0	0.0	1643.0	0.0	0.0	0.0	0.0	0.0
bd81a6f5b90b3e8c4e2d128c29e1f2d9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1385.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a4fbcd1ed28be24c00d9be984c121536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2281.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	502.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47bb54ff4a3751cc28b8e1312c396f04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	912.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	261.0	222.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1365.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
