"species.names"	"rnamean"
"Halococcus_morrhuae"	NA
"Helicobacter_bilis"	1
"Helicobacter_canadensis"	NA
"Helicobacter_cinaedi"	1
"Helicobacter_pullorum"	1
"Helicobacter_pylori"	2
"Helicobacter_winghamensis"	1
"Holdemania_filiformis"	1
"Kallipyga_massiliensis"	0
"Kandleria_vitulina"	NA
"Kingella_oralis"	NA
"Klebsiella_oxytoca"	NA
"Klebsiella_pneumoniae"	8
"Klebsiella_sp"	1
"Kluyvera_ascorbata"	1
"Kocuria_palustris"	NA
"Kocuria_rhizophila"	3
"Kurthia_massiliensis"	1
"Kytococcus_sedentarius"	2
"Lachnospira_multipara"	NA
"Lachnospiraceae_bacterium"	1
"Lactobacillus_acidophilus"	2.5
"Lactobacillus_amylolyticus"	1
"Lactobacillus_amylovorus"	NA
"Lactobacillus_animalis"	1
"Lactobacillus_antri"	1
"Lactobacillus_brevis"	3
"Lactobacillus_buchneri"	1
"Lactobacillus_casei"	5
"Lactobacillus_coleohominis"	1
"Lactobacillus_coryniformis"	1
"Lactobacillus_crispatus"	1
"Lactobacillus_curvatus"	NA
"Lactobacillus_delbrueckii"	9
"Lactobacillus_fermentum"	3
"Lactobacillus_gasseri"	6
"Lactobacillus_gastricus"	1
"Lactobacillus_helveticus"	2.5
"Lactobacillus_hilgardii"	1
"Lactobacillus_iners"	NA
"Lactobacillus_jensenii"	NA
"Lactobacillus_johnsonii"	5
"Lactobacillus_mucosae"	8
"Lactobacillus_oris"	5
"Lactobacillus_paracasei"	3
"Lactobacillus_pentosus"	5
"Lactobacillus_plantarum"	3.66666666666667
"Lactobacillus_reuteri"	4
"Lactobacillus_rhamnosus"	3
"Lactobacillus_ruminis"	1
"Lactobacillus_sakei"	7
"Lactobacillus_salivarius"	1
"Lactobacillus_ultunensis"	1
"Lactobacillus_vaginalis"	NA
"Lactococcus_garvieae"	5
"Lactococcus_lactis"	NA
"Lactococcus_raffinolactis"	1
"Laribacter_hongkongensis"	7
"Lautropia_mirabilis"	NA
"Leminorella_grimontii"	NA
"Leptotrichia_buccalis"	5
"Leuconostoc_argentinum"	1
"Leuconostoc_gelidum"	4
"Leuconostoc_lactis"	NA
"Leuconostoc_mesenteroides"	1
"Listeria_grayi"	1
"Listeria_monocytogenes"	5.88888888888889
"Lysinibacillus_fusiformis"	1
"Lysinibacillus_sphaericus"	10
"Marvinbryantia_formatexigens"	1
"Megamonas_funiformis"	2
"Megamonas_hypermegale"	0
"Megasphaera_elsdenii"	7
"Melainabacterium_MEL"	NA
"Mesorhizobium_loti"	NA
"Methanobrevibacter_ruminantium"	NA
"Methanobrevibacter_smithii"	NA
"Methanomassiliicoccus_luminyensis"	NA
"Methanosphaera_stadtmanae"	NA
"Methylobacterium_mesophilicum"	1
"Methylobacterium_populi"	5
"Methylobacterium_radiotolerans"	6
"Methyloversatilis_universalis"	2
"Microbacterium_gubbeenense"	NA
"Microbacterium_oleivorans"	1
"Microbacterium_paraoxydans"	1
"Micrococcus_luteus"	2
"Micromonospora_aurantiaca"	3
"Mitsuokella_jalaludinii"	0
"Mitsuokella_multacida"	2
"Mobiluncus_curtisii"	2
"Mogibacterium_timidum"	NA
"Moraxella_catarrhalis"	4
"Morganella_morganii"	NA
"Mycobacterium_avium"	1
"Mycobacterium_fortuitum"	1
"Mycoplasma_hominis"	2
"Mycoplasma_pneumoniae"	1
"Neisseria_cinerea"	1
"Neisseria_elongata"	1
"Neisseria_flavescens"	5
"Neisseria_macacae"	1
"Neisseria_mucosa"	1
"Neisseria_subflava"	1
"Nevskia_ramosa"	2
"Oceanobacillus_picturae"	6
"Ochrobactrum_anthropi"	4
"Ochrobactrum_intermedium"	NA
"Odoribacter_laneus"	3
"Odoribacter_splanchnicus"	4
"Olsenella_profusa"	1
"Olsenella_uli"	1
"Oribacterium_sinus"	NA
"Oxalobacter_formigenes"	1
"Paenibacillus_alvei"	NA
"Paenibacillus_barengoltzii"	4
"Paenibacillus_daejeonensis"	NA
"Paenibacillus_graminis"	0
"Paenibacillus_lactis"	NA
"Pantoea_agglomerans"	NA
"Parabacteroides_distasonis"	7
"Parabacteroides_goldsteinii"	8
"Parabacteroides_gordonii"	NA
"Parabacteroides_johnsonii"	1
"Parabacteroides_merdae"	2
"Parabacteroides_sp"	1
"Paracoccus_yeei"	NA
"Paraprevotella_clara"	NA
"Paraprevotella_xylaniphila"	1
"Parasutterella_excrementihominis"	1
"Parvimonas_micra"	1
"Pediococcus_acidilactici"	1
"Pediococcus_pentosaceus"	5
"Peptoniphilus_harei"	1
"Peptoniphilus_indolicus"	1
"Peptoniphilus_lacrimalis"	NA
"Peptoniphilus_timonensis"	1
"Peptostreptococcus_anaerobius"	NA
"Peptostreptococcus_stomatis"	1
"Phascolarctobacterium_succinatutens"	1
"Plesiomonas_shigelloides"	NA
"Porphyromonas_asaccharolytica"	2
"Porphyromonas_endodontalis"	1
"Porphyromonas_gingivalis"	4
"Porphyromonas_somerae"	NA
"Porphyromonas_uenonis"	1
"Prevotella_albensis"	NA
"Prevotella_bivia"	NA
"Prevotella_brevis"	NA
"Prevotella_bryantii"	11
"Prevotella_buccae"	NA
"Prevotella_conceptionensis"	1
"Prevotella_copri"	5
"Prevotella_corporis"	NA
"Prevotella_denticola"	4
"Prevotella_disiens"	1
"Prevotella_enoeca"	1
"Prevotella_intermedia"	4
"Prevotella_loescheii"	NA
"Prevotella_melaninogenica"	4
"Prevotella_nanceiensis"	NA
"Prevotella_nigrescens"	1
"Prevotella_oralis"	NA
"Prevotella_pallens"	1
"Prevotella_ruminicola"	4
"Prevotella_salivae"	1
"Prevotella_shahii"	NA
"Prevotella_stercorea"	1
"Prevotella_timonensis"	0.5
"Prevotella_veroralis"	NA
"Propionibacterium_acidipropionici"	4
"Propionibacterium_acnes"	3
"Propionibacterium_avidum"	3
"Propionibacterium_freudenreichii"	2
"Propionibacterium_granulosum"	1
"Propionibacterium_jensenii"	NA
"Propionibacterium_propionicum"	2
"Proteus_mirabilis"	NA
"Proteus_penneri"	NA
"Providencia_alcalifaciens"	1
"Providencia_rettgeri"	1
"Providencia_rustigianii"	1
"Providencia_stuartii"	8
"Pseudobutyrivibrio_ruminis"	NA
"Pseudoflavonifractor_capillosus"	2
"Pseudomonas_aeruginosa"	4
"Pseudomonas_alcaliphila"	1
"Pseudomonas_fluorescens"	NA
"Pseudomonas_monteilii"	NA
"Pseudomonas_nitroreducens"	1
"Pseudomonas_oleovorans"	NA
"Pseudomonas_putida"	NA
"Pseudomonas_stutzeri"	NA
"Pseudoramibacter_alactolyticus"	NA
"Pyramidobacter_piscolens"	1
"Ralstonia_sp"	1
"Raoultella_planticola"	1
"Rhodococcus_equi"	1
"Rhodococcus_erythropolis"	NA
"Rhodococcus_rhodochrous"	NA
"Roseburia_hominis"	4
"Roseburia_intestinalis"	2
"Roseburia_inulinivorans"	0
"Roseomonas_mucosa"	NA
"Rothia_aeria"	1
"Rothia_dentocariosa"	3
"Rothia_mucilaginosa"	3
"Rudanella_lutea"	NA
"Ruminococcaceae_bacterium"	1
"Ruminococcus_albus"	NA
"Ruminococcus_bicirculans"	4
"Ruminococcus_bromii"	NA
"Ruminococcus_callidus"	1
"Ruminococcus_champanellensis"	1
"Ruminococcus_flavefaciens"	3
"Ruminococcus_gauvreauii"	NA
"Ruminococcus_gnavus"	2
"Ruminococcus_lactaris"	1
"Ruminococcus_obeum"	1
"Ruminococcus_sp"	4
"Ruminococcus_torques"	3.5
"Salmonella_enterica"	7
"Scardovia_inopinata"	1
"Schlesneria_paludicola"	NA
"Selenomonas_ruminantium"	7
"Serratia_fonticola"	7
"Serratia_liquefaciens"	7
"Serratia_marcescens"	NA
"Shigella_dysenteriae"	NA
"Shigella_flexneri"	NA
"Shigella_sonnei"	NA
"Silanimonas_lenta"	NA
"Slackia_exigua"	NA
"Slackia_piriformis"	3
"Solobacterium_moorei"	NA
"Sphingomonas_paucimobilis"	NA
"Spirosoma_linguale"	NA
"Staphylococcus_arlettae"	2
"Staphylococcus_aureus"	NA
"Staphylococcus_capitis"	1
"Staphylococcus_caprae"	1
"Staphylococcus_cohnii"	NA
"Staphylococcus_epidermidis"	5
"Staphylococcus_equorum"	1
"Staphylococcus_haemolyticus"	5
"Staphylococcus_hominis"	1
"Staphylococcus_intermedius"	4
"Staphylococcus_lugdunensis"	6
"Staphylococcus_pasteuri"	5
"Staphylococcus_pettenkoferi"	1
"Staphylococcus_saprophyticus"	6
"Staphylococcus_sciuri"	1
"Staphylococcus_simulans"	2
"Staphylococcus_vitulinus"	1
"Staphylococcus_warneri"	5
"Staphylococcus_xylosus"	4
"Stenotrophomonas_maltophilia"	4
"Stenotrophomonas_rhizophila"	3
"Stoquefichus_massiliensis"	1
"Streptococcus_agalactiae"	7
"Streptococcus_anginosus"	1
"Streptococcus_australis"	NA
"Streptococcus_constellatus"	1
"Streptococcus_cristatus"	NA
"Streptococcus_dysgalactiae"	5
"Streptococcus_equi"	NA
"Streptococcus_equinus"	1
"Streptococcus_gallolyticus"	5
"Streptococcus_gordonii"	4
"Streptococcus_infantarius"	2
"Streptococcus_infantis"	NA
"Streptococcus_intermedius"	4
"Streptococcus_lutetiensis"	6
"Streptococcus_mitis"	NA
"Streptococcus_mutans"	5
"Streptococcus_oralis"	4
"Streptococcus_parasanguinis"	NA
"Streptococcus_parauberis"	5
"Streptococcus_peroris"	NA
"Streptococcus_pleomorphus"	1
"Streptococcus_pneumoniae"	NA
"Streptococcus_pseudopneumoniae"	NA
"Streptococcus_pyogenes"	NA
"Streptococcus_salivarius"	6
"Streptococcus_sanguinis"	4
"Streptococcus_sp"	1.66666666666667
"Streptococcus_thermophilus"	6
"Streptococcus_thoraltensis"	NA
"Streptococcus_uberis"	5
"Streptococcus_vestibularis"	6
"Subdoligranulum_variabile"	1
"Succinatimonas_hippei"	1
"Succinivibrio_dextrinosolvens"	NA
"Sulfolobus_solfataricus"	NA
"Sutterella_parvirubra"	1
"Sutterella_wadsworthensis"	1
"Tannerella_forsythia"	2
"Tatumella_ptyseos"	1
"Trabulsiella_guamensis"	1
"Tropheryma_whipplei"	1
"Trueperella_pyogenes"	1
"Ureaplasma_parvum"	NA
"Ureaplasma_urealyticum"	2
"Ureibacillus_thermosphaericus"	0
"Varibaculum_cambriense"	2
"Veillonella_atypica"	NA
"Veillonella_dispar"	NA
"Veillonella_parvula"	4
"Veillonella_ratti"	1
"Veillonella_sp"	1
"Vibrio_fluvialis"	2
"Vibrio_furnissii"	7
"Vibrio_mimicus"	7
"Vibrio_parahaemolyticus"	11
"Weissella_cibaria"	1
"Weissella_confusa"	1
"Weissella_paramesenteroides"	1
"Yersinia_bercovieri"	8
"Yersinia_enterocolitica"	7
"Yersinia_frederiksenii"	1
"Yersinia_kristensenii"	1
"Yersinia_pseudotuberculosis"	7
"Yersinia_rohdei"	2
"Yokenella_regensburgei"	0
